eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A25_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Quadrat count,0.25,m^2,"POLYGON ((-2.243657 36.83806, -2.243653 36.83806, -2.243649 36.83806, -2.243653 36.83805, -2.243657 36.83806))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A25_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Quadrat count,0.25,m^2,"POLYGON ((-2.243662 36.83806, -2.243658 36.83806, -2.243661 36.83805, -2.243666 36.83805, -2.243662 36.83806))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((-2.243559 36.83811, -2.243554 36.83811, -2.243552 36.8381, -2.243558 36.8381, -2.243559 36.83811))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((-2.243551 36.8381, -2.243551 36.8381, -2.243546 36.8381, -2.243545 36.8381, -2.243551 36.8381))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((-2.24355 36.83809, -2.243556 36.83809, -2.243557 36.83809, -2.243551 36.8381, -2.24355 36.83809))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A27_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Quadrat count,0.25,m^2,"POLYGON ((-2.243558 36.8381, -2.243563 36.83809, -2.243564 36.8381, -2.243558 36.8381, -2.243558 36.8381))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((-2.243636 36.83812, -2.24363 36.83812, -2.243631 36.83812, -2.243636 36.83812, -2.243636 36.83812))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((-2.243629 36.83812, -2.243628 36.83812, -2.243623 36.83812, -2.243623 36.83811, -2.243629 36.83812))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((-2.243637 36.83811, -2.243631 36.83811, -2.243631 36.83811, -2.243637 36.83811, -2.243637 36.83811))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A26_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Quadrat count,0.25,m^2,"POLYGON ((-2.243638 36.83812, -2.243638 36.83811, -2.243643 36.83811, -2.243643 36.83812, -2.243638 36.83812))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Quadrat count,0.25,m^2,"POLYGON ((-2.250977 36.83237, -2.250971 36.83237, -2.250972 36.83237, -2.250977 36.83237, -2.250977 36.83237))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((-2.246521 36.83573, -2.246522 36.83573, -2.246516 36.83573, -2.246515 36.83573, -2.246521 36.83573))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((-2.24651 36.83573, -2.246515 36.83573, -2.246517 36.83574, -2.246511 36.83574, -2.24651 36.83573))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((-2.246508 36.83573, -2.246509 36.83573, -2.246504 36.83573, -2.246502 36.83573, -2.246508 36.83573))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A30_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Quadrat count,0.25,m^2,"POLYGON ((-2.246509 36.83573, -2.246508 36.83572, -2.246513 36.83572, -2.246514 36.83573, -2.246509 36.83573))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A11_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Point Quadrat Transect,2,m,"LINESTRING (-2.254738 36.83183, -2.254741 36.83181, -2.254741 36.83181, -2.254741 36.83181)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A11_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A11,,Point Quadrat Transect,2,m,"LINESTRING (-2.254729 36.83182, -2.254751 36.83182, -2.254751 36.83182, -2.254751 36.83182)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A10_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Point Quadrat Transect,2,m,"LINESTRING (-2.254716 36.83179, -2.254718 36.8318)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A10_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A10,,Point Quadrat Transect,2,m,"LINESTRING (-2.254727 36.83179, -2.254705 36.8318)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A14_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Point Quadrat Transect,2,m,"LINESTRING (-2.254617 36.83185, -2.254615 36.83183)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A14_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A14,,Point Quadrat Transect,2,m,"LINESTRING (-2.254627 36.83184, -2.254605 36.83184)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Point Quadrat Transect,2,m,"LINESTRING (-2.254724 36.83189, -2.254731 36.83188)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A13,,Point Quadrat Transect,2,m,"LINESTRING (-2.254738 36.83189, -2.254716 36.83188)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Point Quadrat Transect,2,m,"LINESTRING (-2.255239 36.83204, -2.255217 36.83204)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A15_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A15,,Point Quadrat Transect,2,m,"LINESTRING (-2.255233 36.83205, -2.255225 36.83203)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A16_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A16,,Point Quadrat Transect,2,m,"LINESTRING (-2.255175 36.83213, -2.255181 36.83211)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A16_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A16,,Point Quadrat Transect,2,m,"LINESTRING (-2.255188 36.83212, -2.255166 36.83211)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A20_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Point Quadrat Transect,2,m,"LINESTRING (-2.250987 36.83238, -2.250974 36.83236)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A20_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A20,,Point Quadrat Transect,2,m,"LINESTRING (-2.250972 36.83238, -2.250989 36.83237)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A21_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Point Quadrat Transect,2,m,"LINESTRING (-2.251017 36.83246, -2.251023 36.83244)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A21_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A21,,Point Quadrat Transect,2,m,"LINESTRING (-2.251031 36.83245, -2.25101 36.83245)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A19,,Point Quadrat Transect,2,m,"LINESTRING (-2.250915 36.83255, -2.250893 36.83255)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A19_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A19,,Point Quadrat Transect,2,m,"LINESTRING (-2.250905 36.83256, -2.250904 36.83254)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A24_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A24,,Point Quadrat Transect,2,m,"LINESTRING (-2.248541 36.83452, -2.248539 36.83451)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A24_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A24,,Point Quadrat Transect,2,m,"LINESTRING (-2.24855 36.83451, -2.248528 36.83452)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A23_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A23,,Point Quadrat Transect,2,m,"LINESTRING (-2.248753 36.83452, -2.248731 36.83452)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A23_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A23,,Point Quadrat Transect,2,m,"LINESTRING (-2.248744 36.83453, -2.248743 36.83451)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A22_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A22,,Point Quadrat Transect,2,m,"LINESTRING (-2.24872 36.83463, -2.248698 36.83463)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A22_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A22,,Point Quadrat Transect,2,m,"LINESTRING (-2.248712 36.83464, -2.248707 36.83462)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A28_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A28,,Point Quadrat Transect,2,m,"LINESTRING (-2.246647 36.83585, -2.246625 36.83584)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A28_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A28,,Point Quadrat Transect,2,m,"LINESTRING (-2.246634 36.83585, -2.24664 36.83584)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A29_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A29,,Point Quadrat Transect,2,m,"LINESTRING (-2.246624 36.83576, -2.246605 36.83575)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A29_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A29,,Point Quadrat Transect,2,m,"LINESTRING (-2.246608 36.83576, -2.246621 36.83575)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A25_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Point Quadrat Transect,2,m,"LINESTRING (-2.243669 36.83806, -2.243647 36.83806)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A25_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A25,,Point Quadrat Transect,2,m,"LINESTRING (-2.243659 36.83807, -2.243657 36.83805)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A26_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Point Quadrat Transect,2,m,"LINESTRING (-2.243641 36.83812, -2.243625 36.83811)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A26_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A26,,Point Quadrat Transect,2,m,"LINESTRING (-2.243625 36.83812, -2.243641 36.83811)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A27_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Point Quadrat Transect,2,m,"LINESTRING (-2.243563 36.8381, -2.243545 36.83809)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A27_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A27,,Point Quadrat Transect,2,m,"LINESTRING (-2.243548 36.83811, -2.243561 36.83809)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 5 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A30_T1,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Point Quadrat Transect,2,m,"LINESTRING (-2.246521 36.83574, -2.246502 36.83573)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A30_T2,CSIC-EEZ:SERPAM:AMOLADERAS_A30,,Point Quadrat Transect,2,m,"LINESTRING (-2.246506 36.83574, -2.246518 36.83572)",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G+C+,"herbivorism (sheep, rabbit)"
